name,ingredient_list,diet,flavor_profile,course,state,region,dish_text
dharwad pedha,"['milk', 'sugar', 'dharwadi buffalo milk']",vegetarian,sweet,dessert,karnataka,south,dharwad pedha milk sugar dharwadi buffalo milk vegetarian sweet dessert karnataka south
double ka meetha,"['loaf bread', 'milk']",vegetarian,sweet,dessert,telangana,south,double ka meetha loaf bread milk vegetarian sweet dessert telangana south
gavvalu,"['rice flour', 'sugar', 'salt', 'ghee', 'semolina']",vegetarian,sweet,dessert,andhra pradesh,south,gavvalu rice flour sugar salt ghee semolina vegetarian sweet dessert andhra pradesh south
kakinada khaja,"['wheat flour', 'sugar']",vegetarian,sweet,dessert,andhra pradesh,south,kakinada khaja wheat flour sugar vegetarian sweet dessert andhra pradesh south
kuzhi paniyaram,"['black lentils', 'rice']",vegetarian,sweet,dessert,kerala,south,kuzhi paniyaram black lentils rice vegetarian sweet dessert kerala south
mysore pak,"['besan flour', 'semolina', 'mung bean', 'jaggery', 'coconut', 'skimmed milk powder', 'sugar', 'ghee']",vegetarian,sweet,dessert,karnataka,south,mysore pak besan flour semolina mung bean jaggery coconut skimmed milk powder sugar ghee vegetarian sweet dessert karnataka south
obbattu holige,"['maida flour', 'turmeric', 'coconut', 'chickpeas', 'jaggery', 'ghee', 'cardamom']",vegetarian,sweet,main course,karnataka,south,obbattu holige maida flour turmeric coconut chickpeas jaggery ghee cardamom vegetarian sweet main course karnataka south
palathalikalu,"['rice flour', 'milk']",vegetarian,sweet,dessert,andhra pradesh,south,palathalikalu rice flour milk vegetarian sweet dessert andhra pradesh south
poornalu,"['chana dal', 'jaggery']",vegetarian,sweet,dessert,andhra pradesh,south,poornalu chana dal jaggery vegetarian sweet dessert andhra pradesh south
pongal,"['rice', 'jaggery', 'cashews', 'ghee']",vegetarian,sweet,dessert,tamil nadu,south,pongal rice jaggery cashews ghee vegetarian sweet dessert tamil nadu south
pootharekulu,"['rice flour', 'powdered sugar', 'ghee']",vegetarian,sweet,dessert,andhra pradesh,south,pootharekulu rice flour powdered sugar ghee vegetarian sweet dessert andhra pradesh south
qubani ka meetha,"['apricots', 'sugar syrup']",vegetarian,sweet,dessert,telangana,south,qubani ka meetha apricots sugar syrup vegetarian sweet dessert telangana south
sheer korma,"['vermicelli pudding', 'milk']",vegetarian,sweet,dessert,telangana,south,sheer korma vermicelli pudding milk vegetarian sweet dessert telangana south
unni appam,"['rice flour', 'banana', 'jaggery', 'coconut']",vegetarian,sweet,dessert,tamil nadu,south,unni appam rice flour banana jaggery coconut vegetarian sweet dessert tamil nadu south
kajjikaya,"['rice flour', 'jaggery', 'coconut']",vegetarian,sweet,dessert,andhra pradesh,south,kajjikaya rice flour jaggery coconut vegetarian sweet dessert andhra pradesh south
anarsa,"['rice flour', 'jaggery', 'khus khus seeds']",vegetarian,sweet,dessert,maharashtra,west,anarsa rice flour jaggery khus khus seeds vegetarian sweet dessert maharashtra west
basundi,"['sugar', 'milk', 'nuts']",vegetarian,sweet,dessert,gujarat,west,basundi sugar milk nuts vegetarian sweet dessert gujarat west
dhondas,"['cucumber', 'rava']",vegetarian,sweet,dessert,maharashtra,west,dhondas cucumber rava vegetarian sweet dessert maharashtra west
doodhpak,"['milk', 'rice', 'sugar', 'dry fruits']",vegetarian,sweet,dessert,gujarat,west,doodhpak milk rice sugar dry fruits vegetarian sweet dessert gujarat west
mahim halwa,"['semolina', 'sugar']",vegetarian,sweet,dessert,maharashtra,west,mahim halwa semolina sugar vegetarian sweet dessert maharashtra west
modak,"['rice flour', 'coconut', 'jaggery']",vegetarian,sweet,dessert,maharashtra,west,modak rice flour coconut jaggery vegetarian sweet dessert maharashtra west
shankarpali,"['sugar', 'ghee', 'maida flour', 'semolina']",vegetarian,sweet,dessert,maharashtra,west,shankarpali sugar ghee maida flour semolina vegetarian sweet dessert maharashtra west
shrikhand,"['curd', 'sugar', 'saffron', 'cardamom']",vegetarian,sweet,dessert,maharashtra,west,shrikhand curd sugar saffron cardamom vegetarian sweet dessert maharashtra west
sutar feni,"['maida', 'sugar', 'ghee']",vegetarian,sweet,dessert,maharashtra,west,sutar feni maida sugar ghee vegetarian sweet dessert maharashtra west
maach jhol,"['fish', 'potol', 'tomato', 'chillies', 'ginger', 'garlic']",non vegetarian,spicy,main course,assam,north east,maach jhol fish potol tomato chillies ginger garlic non vegetarian spicy main course assam north east
pork bharta,"['boiled pork', 'onions', 'chillies', 'ginger and garlic']",non vegetarian,spicy,main course,tripura,north east,pork bharta boiled pork onions chillies ginger and garlic non vegetarian spicy main course tripura north east
chak hao kheer,"['rice', 'milk', 'sugar', 'cardamom']",vegetarian,sweet,dessert,manipur,north east,chak hao kheer rice milk sugar cardamom vegetarian sweet dessert manipur north east
galho,"['rice', 'axone', 'salt', 'water', 'chillies', 'pork']",non vegetarian,spicy,main course,nagaland,north east,galho rice axone salt water chillies pork non vegetarian spicy main course nagaland north east
aloo gobi,"['cauliflower', 'potato', 'garam masala', 'turmeric', 'curry leaves']",vegetarian,spicy,main course,punjab,north,aloo gobi cauliflower potato garam masala turmeric curry leaves vegetarian spicy main course punjab north
aloo tikki,"['rice flour', 'potato', 'bread crumbs', 'garam masala', 'salt']",vegetarian,spicy,main course,punjab,north,aloo tikki rice flour potato bread crumbs garam masala salt vegetarian spicy main course punjab north
aloo matar,"['potato', 'peas', 'chillies', 'ginger', 'garam masala', 'garlic']",vegetarian,spicy,main course,punjab,north,aloo matar potato peas chillies ginger garam masala garlic vegetarian spicy main course punjab north
aloo methi,"['potato', 'fenugreek leaves', 'chillies', 'salt', 'oil']",vegetarian,bitter,main course,punjab,north,aloo methi potato fenugreek leaves chillies salt oil vegetarian bitter main course punjab north
aloo shimla mirch,"['potato', 'shimla mirch', 'garam masala', 'amchur powder', 'salt']",vegetarian,spicy,main course,punjab,north,aloo shimla mirch potato shimla mirch garam masala amchur powder salt vegetarian spicy main course punjab north
bhatura,"['chole', 'rava', 'yogurt', 'plain flour', 'baking soda']",vegetarian,spicy,main course,punjab,north,bhatura chole rava yogurt plain flour baking soda vegetarian spicy main course punjab north
bhindi masala,"['ladies finger', 'garam masala', 'kasuri methi', 'tomatoes', 'chili powder']",vegetarian,spicy,main course,punjab,north,bhindi masala ladies finger garam masala kasuri methi tomatoes chili powder vegetarian spicy main course punjab north
biryani,"['chicken thighs', 'basmati rice', 'star anise', 'sweet', 'green chillies']",non vegetarian,spicy,main course,telangana,south,biryani chicken thighs basmati rice star anise sweet green chillies non vegetarian spicy main course telangana south
butter chicken,"['chicken', 'greek yogurt', 'cream', 'garam masala powder', 'cashew nuts', 'butter']",non vegetarian,spicy,main course,nct of delhi,north,butter chicken chicken greek yogurt cream garam masala powder cashew nuts butter non vegetarian spicy main course nct of delhi north
chana masala,"['chickpeas', 'tomato paste', 'garam masala', 'ginger', 'red onion', 'avocado oil']",vegetarian,spicy,main course,punjab,north,chana masala chickpeas tomato paste garam masala ginger red onion avocado oil vegetarian spicy main course punjab north
chapati,"['whole wheat flour', 'olive oil', 'hot water', 'all purpose flour']",vegetarian,unknown,main course,maharashtra,west,chapati whole wheat flour olive oil hot water all purpose flour vegetarian unknown main course maharashtra west
chicken razala,"['chicken', 'dahi', 'sesame seeds', 'garam masala powder', 'cashew nuts', 'saffron']",non vegetarian,spicy,main course,west bengal,east,chicken razala chicken dahi sesame seeds garam masala powder cashew nuts saffron non vegetarian spicy main course west bengal east
chicken tikka masala,"['naan bread', 'tomato sauce', 'skinless chicken breasts', 'heavy cream', 'garam masala']",non vegetarian,spicy,main course,punjab,north,chicken tikka masala naan bread tomato sauce skinless chicken breasts heavy cream garam masala non vegetarian spicy main course punjab north
chicken tikka,"['chicken', 'whole wheat bread', 'rice flour', 'garam masala powder', 'whole egg']",non vegetarian,spicy,starter,punjab,north,chicken tikka chicken whole wheat bread rice flour garam masala powder whole egg non vegetarian spicy starter punjab north
chole bhature,"['chole', 'bhatura', 'garam masala', 'bay leaf', 'cinnamon stick']",vegetarian,spicy,main course,punjab,north,chole bhature chole bhatura garam masala bay leaf cinnamon stick vegetarian spicy main course punjab north
daal baati churma,"['moong dal', 'masoor dal', 'chana dal', 'wheat flour', 'almond']",vegetarian,spicy,main course,rajasthan,west,daal baati churma moong dal masoor dal chana dal wheat flour almond vegetarian spicy main course rajasthan west
daal puri,"['moong dal', 'garam masala powder', 'garlic', 'green chilli', 'all purpose flour']",vegetarian,spicy,main course,west bengal,east,daal puri moong dal garam masala powder garlic green chilli all purpose flour vegetarian spicy main course west bengal east
dal makhani,"['red kidney beans', 'urad dal', 'cream', 'garam masala', 'chili powder']",vegetarian,sweet,main course,punjab,north,dal makhani red kidney beans urad dal cream garam masala chili powder vegetarian sweet main course punjab north
dal tadka,"['pigeon peas', 'garam masala', 'ginger', 'red onion', 'kasuri methi']",vegetarian,spicy,main course,punjab,north,dal tadka pigeon peas garam masala ginger red onion kasuri methi vegetarian spicy main course punjab north
dum aloo,"['baby potatoes', 'garam masala', 'cashew nuts', 'kasuri methi', 'tomatoes']",vegetarian,spicy,main course,jammu kashmir,north,dum aloo baby potatoes garam masala cashew nuts kasuri methi tomatoes vegetarian spicy main course jammu kashmir north
poha,"['beaten rice flakes', 'potato', 'curry leaves', 'green chilies', 'lemon juice']",vegetarian,spicy,snack,maharashtra,west,poha beaten rice flakes potato curry leaves green chilies lemon juice vegetarian spicy snack maharashtra west
fara,"['chana dal', 'whole wheat flour', 'arhar dal', 'white urad dal', 'garam masala powder']",vegetarian,spicy,snack,chhattisgarh,central,fara chana dal whole wheat flour arhar dal white urad dal garam masala powder vegetarian spicy snack chhattisgarh central
kachori,"['moong dal', 'rava', 'garam masala', 'dough', 'fennel seeds']",vegetarian,spicy,snack,uttar pradesh,north,kachori moong dal rava garam masala dough fennel seeds vegetarian spicy snack uttar pradesh north
kadai paneer,"['cottage cheese', 'bell peppers', 'gravy', 'garam masala', 'cashew nuts']",vegetarian,spicy,main course,punjab,north,kadai paneer cottage cheese bell peppers gravy garam masala cashew nuts vegetarian spicy main course punjab north
kadhi pakoda,"['besan', 'garam masala powder', 'gram flour', 'ginger', 'curry leaves']",vegetarian,spicy,main course,haryana,north,kadhi pakoda besan garam masala powder gram flour ginger curry leaves vegetarian spicy main course haryana north
karela bharta,"['bitter gourd', 'fennel', 'garam masala powder', 'chili powder', 'amchur powder']",vegetarian,bitter,main course,punjab,north,karela bharta bitter gourd fennel garam masala powder chili powder amchur powder vegetarian bitter main course punjab north
khichdi,"['moong dal', 'green peas', 'ginger', 'tomato', 'green chili']",vegetarian,spicy,main course,unknown,unknown,khichdi moong dal green peas ginger tomato green chili vegetarian spicy main course unknown unknown
kofta,"['paneer', 'potato', 'cream', 'corn flour', 'garam masala']",vegetarian,spicy,main course,uttar pradesh,north,kofta paneer potato cream corn flour garam masala vegetarian spicy main course uttar pradesh north
kulfi falooda,"['rose syrup', 'falooda sev', 'mixed nuts', 'saffron', 'sugar']",vegetarian,sweet,dessert,unknown,unknown,kulfi falooda rose syrup falooda sev mixed nuts saffron sugar vegetarian sweet dessert unknown unknown
lauki ke kofte,"['bottle gourd', 'garam masala powder', 'gram flour', 'ginger', 'chillies']",vegetarian,spicy,main course,uttar pradesh,north,lauki ke kofte bottle gourd garam masala powder gram flour ginger chillies vegetarian spicy main course uttar pradesh north
lauki ki subji,"['bottle gourd', 'coconut oil', 'garam masala', 'ginger', 'green chillies']",vegetarian,spicy,main course,unknown,unknown,lauki ki subji bottle gourd coconut oil garam masala ginger green chillies vegetarian spicy main course unknown unknown
litti chokha,"['wheat flour', 'roasted gram flour', 'tomato', 'nigella seeds', 'chilli']",vegetarian,spicy,main course,bihar,north,litti chokha wheat flour roasted gram flour tomato nigella seeds chilli vegetarian spicy main course bihar north
makki di roti sarson da saag,"['palak', 'makki atta', 'mustard green', 'garam masala', 'ginger']",vegetarian,spicy,main course,punjab,north,makki di roti sarson da saag palak makki atta mustard green garam masala ginger vegetarian spicy main course punjab north
misi roti,"['whole wheat flour', 'chickpea flour', 'green chilies']",vegetarian,spicy,main course,punjab,north,misi roti whole wheat flour chickpea flour green chilies vegetarian spicy main course punjab north
mushroom do pyaza,"['mushroom', 'malai', 'garam masala', 'ginger', 'capsicum']",vegetarian,spicy,main course,punjab,north,mushroom do pyaza mushroom malai garam masala ginger capsicum vegetarian spicy main course punjab north
mushroom matar,"['canned coconut milk', 'frozen green peas', 'wild mushrooms', 'garam masala', 'tomatoes']",vegetarian,spicy,main course,punjab,north,mushroom matar canned coconut milk frozen green peas wild mushrooms garam masala tomatoes vegetarian spicy main course punjab north
naan,"['whole wheat flour', 'honey', 'butter', 'garlic']",vegetarian,unknown,main course,punjab,north,naan whole wheat flour honey butter garlic vegetarian unknown main course punjab north
navrattan korma,"['green beans', 'potatoes', 'khus khus', 'low fat', 'garam masala powder']",vegetarian,spicy,main course,uttar pradesh,north,navrattan korma green beans potatoes khus khus low fat garam masala powder vegetarian spicy main course uttar pradesh north
palak paneer,"['cottage cheese', 'palak', 'cream', 'garam masala', 'butter']",vegetarian,spicy,main course,punjab,north,palak paneer cottage cheese palak cream garam masala butter vegetarian spicy main course punjab north
paneer butter masala,"['paneer', 'whipping cream', 'garam masala', 'cashew nuts', 'butter']",vegetarian,spicy,main course,punjab,north,paneer butter masala paneer whipping cream garam masala cashew nuts butter vegetarian spicy main course punjab north
paneer tikka masala,"['paneer', 'greek yogurt', 'tandoori masala', 'cream', 'bell pepper']",vegetarian,spicy,main course,punjab,north,paneer tikka masala paneer greek yogurt tandoori masala cream bell pepper vegetarian spicy main course punjab north
pani puri,"['kala chana', 'mashed potato', 'boondi', 'sev', 'lemon']",vegetarian,spicy,snack,unknown,unknown,pani puri kala chana mashed potato boondi sev lemon vegetarian spicy snack unknown unknown
panjeeri,"['whole wheat flour', 'musk melon seeds', 'poppy seeds', 'edible gum', 'semolina']",vegetarian,sweet,dessert,uttar pradesh,,panjeeri whole wheat flour musk melon seeds poppy seeds edible gum semolina vegetarian sweet dessert uttar pradesh
papad,"['urad dal', 'sev', 'lemon juice', 'chopped tomatoes']",vegetarian,spicy,snack,unknown,unknown,papad urad dal sev lemon juice chopped tomatoes vegetarian spicy snack unknown unknown
paratha,"['wheat flour', 'butter', 'potato', 'coriander']",vegetarian,spicy,main course,punjab,north,paratha wheat flour butter potato coriander vegetarian spicy main course punjab north
pattor,"['arbi ke patte', 'sesame seeds', 'gur', 'bengal gram flour', 'imli']",vegetarian,spicy,main course,rajasthan,west,pattor arbi ke patte sesame seeds gur bengal gram flour imli vegetarian spicy main course rajasthan west
pindi chana,"['fennel', 'tea bags', 'tomato', 'kasuri methi', 'cinnamon']",vegetarian,spicy,main course,punjab,north,pindi chana fennel tea bags tomato kasuri methi cinnamon vegetarian spicy main course punjab north
rajma chaval,"['red kidney beans', 'garam masala powder', 'ginger', 'tomato', 'mustard oil']",vegetarian,spicy,main course,unknown,north,rajma chaval red kidney beans garam masala powder ginger tomato mustard oil vegetarian spicy main course unknown north
rongi,"['garam masala powder', 'tomato', 'kasuri methi', 'cinnamon', 'mustard oil']",vegetarian,unknown,main course,punjab,north,rongi garam masala powder tomato kasuri methi cinnamon mustard oil vegetarian unknown main course punjab north
samosa,"['potatoes', 'green peas', 'garam masala', 'ginger', 'dough']",vegetarian,spicy,snack,unknown,unknown,samosa potatoes green peas garam masala ginger dough vegetarian spicy snack unknown unknown
sattu ki roti,"['sattu', 'atta', 'dough', 'filling', 'mustard oil']",vegetarian,spicy,main course,bihar,north,sattu ki roti sattu atta dough filling mustard oil vegetarian spicy main course bihar north
shahi paneer,"['cottage cheese', 'malai', 'garam masala', 'ginger', 'tomato']",vegetarian,spicy,main course,punjab,north,shahi paneer cottage cheese malai garam masala ginger tomato vegetarian spicy main course punjab north
shahi tukra,"['rose water', 'milk', 'white bread slices', 'saffron', 'almonds']",vegetarian,sweet,dessert,telangana,south,shahi tukra rose water milk white bread slices saffron almonds vegetarian sweet dessert telangana south
vegetable jalfrezi,"['baby corn', 'french beans', 'garam masala', 'ginger', 'carrot']",vegetarian,spicy,main course,punjab,north,vegetable jalfrezi baby corn french beans garam masala ginger carrot vegetarian spicy main course punjab north
tandoori chicken,"['greek yogurt', 'garam masala', 'kasuri methi', 'marinade', 'mustard oil']",non vegetarian,spicy,main course,punjab,north,tandoori chicken greek yogurt garam masala kasuri methi marinade mustard oil non vegetarian spicy main course punjab north
tandoori fish tikka,"['chickpea flour', 'biryani masala powder', 'yogurt', 'fish fillets', 'green bell pepper']",non vegetarian,spicy,starter,punjab,north,tandoori fish tikka chickpea flour biryani masala powder yogurt fish fillets green bell pepper non vegetarian spicy starter punjab north
attu,"['whole wheat flour', 'arhar dal', 'ginger', 'kala jeera', 'green chilli']",vegetarian,spicy,snack,andhra pradesh,south,attu whole wheat flour arhar dal ginger kala jeera green chilli vegetarian spicy snack andhra pradesh south
avial,"['raw banana', 'elephant foot yam', 'long beans', 'tindora', 'urad dal']",vegetarian,spicy,main course,kerala,south,avial raw banana elephant foot yam long beans tindora urad dal vegetarian spicy main course kerala south
bisi bele bath,"['split pigeon peas', 'chana dal', 'urad dal', 'green peas', 'french beans']",vegetarian,spicy,main course,karnataka,south,bisi bele bath split pigeon peas chana dal urad dal green peas french beans vegetarian spicy main course karnataka south
currivepillai sadam,"['chana dal', 'urad dal', 'fresh coconut', 'sesame seeds', 'curry leaves']",vegetarian,spicy,main course,tamil nadu,south,currivepillai sadam chana dal urad dal fresh coconut sesame seeds curry leaves vegetarian spicy main course tamil nadu south
dosa,"['chana dal', 'urad dal', 'whole urad dal', 'blend rice', 'rock salt']",vegetarian,spicy,snack,unknown,south,dosa chana dal urad dal whole urad dal blend rice rock salt vegetarian spicy snack unknown south
idiappam,"['rice flour', 'hot water', 'grated coconut']",vegetarian,spicy,snack,tamil nadu,south,idiappam rice flour hot water grated coconut vegetarian spicy snack tamil nadu south
idli,"['split urad dal', 'urad dal', 'idli rice', 'thick poha', 'rock salt']",vegetarian,spicy,snack,unknown,south,idli split urad dal urad dal idli rice thick poha rock salt vegetarian spicy snack unknown south
kanji,"['carrot', 'yellow mustard', 'red chilli', 'black salt']",vegetarian,unknown,snack,kerala,south,kanji carrot yellow mustard red chilli black salt vegetarian unknown snack kerala south
kaara kozhambu,"['sesame oil', 'drumstick', 'tamarind paste', 'sambar powder', 'tomato']",vegetarian,spicy,main course,tamil nadu,south,kaara kozhambu sesame oil drumstick tamarind paste sambar powder tomato vegetarian spicy main course tamil nadu south
keerai kootu,"['moong dal', 'chana dal', 'spinach', 'urad dal', 'coconut oil']",vegetarian,spicy,main course,tamil nadu,south,keerai kootu moong dal chana dal spinach urad dal coconut oil vegetarian spicy main course tamil nadu south
keerai masiyal,"['urad dal', 'curry leaves', 'sugar', 'mustard seeds', 'spinach']",vegetarian,spicy,main course,tamil nadu,south,keerai masiyal urad dal curry leaves sugar mustard seeds spinach vegetarian spicy main course tamil nadu south
keerai sadam,"['greens', 'tomato', 'mustard seeds', 'fenugreek seeds']",vegetarian,spicy,main course,tamil nadu,south,keerai sadam greens tomato mustard seeds fenugreek seeds vegetarian spicy main course tamil nadu south
keerai poriyal,"['amaranth leaves', 'split urad dal', 'mustard seeds', 'grated coconut', 'red chili']",vegetarian,spicy,main course,tamil nadu,south,keerai poriyal amaranth leaves split urad dal mustard seeds grated coconut red chili vegetarian spicy main course tamil nadu south
beef fry,"['beef', 'coconut', 'garam masala', 'curry leaves', 'green chilies', 'chili powder']",non vegetarian,spicy,main course,kerala,south,beef fry beef coconut garam masala curry leaves green chilies chili powder non vegetarian spicy main course kerala south
kootu,"['chana dal', 'urad dal', 'potato', 'beans', 'peas']",vegetarian,spicy,main course,tamil nadu,south,kootu chana dal urad dal potato beans peas vegetarian spicy main course tamil nadu south
kos kootu,"['moong dal', 'chana dal', 'cabbage', 'tamarind', 'curry leaves']",vegetarian,spicy,main course,tamil nadu,south,kos kootu moong dal chana dal cabbage tamarind curry leaves vegetarian spicy main course tamil nadu south
koshambri,"['moong dal', 'cucumber', 'curry leaves', 'green chili', 'lemon juice']",vegetarian,spicy,main course,karnataka,south,koshambri moong dal cucumber curry leaves green chili lemon juice vegetarian spicy main course karnataka south
kothamali sadam,"['chana dal', 'urad dal', 'gooseberry', 'raw rice', 'curry leaves']",vegetarian,spicy,main course,tamil nadu,south,kothamali sadam chana dal urad dal gooseberry raw rice curry leaves vegetarian spicy main course tamil nadu south
