query,dish_name
vermicelli pudding sheer korma,sheer korma
sheer korma,sheer korma
meetha sheer korma,sheer korma
meetha unni appam,unni appam
unni appam dessert,unni appam
unni appam,unni appam
sweet unni appam,unni appam
tamil nadu unni appam,unni appam
rice flour unni appam,unni appam
andhra pradesh kajjikaya,kajjikaya
meetha kajjikaya,kajjikaya
kajjikaya dessert,kajjikaya
sweet kajjikaya,kajjikaya
kajjikaya,kajjikaya
rice flour kajjikaya,kajjikaya
anarsa,anarsa
meetha anarsa,anarsa
sweet anarsa,anarsa
rice flour anarsa,anarsa
anarsa dessert,anarsa
maharashtra anarsa,anarsa
basundi,basundi
sugar basundi,basundi
gujarat basundi,basundi
sweet basundi,basundi
basundi dessert,basundi
meetha basundi,basundi
dhondas dessert,dhondas
sweet dhondas,dhondas
maharashtra dhondas,dhondas
dhondas,dhondas
meetha dhondas,dhondas
cucumber dhondas,dhondas
doodhpak,doodhpak
gujarat doodhpak,doodhpak
milk doodhpak,doodhpak
sweet doodhpak,doodhpak
meetha doodhpak,doodhpak
doodhpak dessert,doodhpak
mahim halwa,mahim halwa
mahim halwa dessert,mahim halwa
sweet mahim halwa,mahim halwa
maharashtra mahim halwa,mahim halwa
semolina mahim halwa,mahim halwa
meetha mahim halwa,mahim halwa
maharashtra modak,modak
modak dessert,modak
meetha modak,modak
sweet modak,modak
rice flour modak,modak
modak,modak
shankarpali,shankarpali
sugar shankarpali,shankarpali
meetha shankarpali,shankarpali
maharashtra shankarpali,shankarpali
shankarpali dessert,shankarpali
sweet shankarpali,shankarpali
shrikhand dessert,shrikhand
curd shrikhand,shrikhand
maharashtra shrikhand,shrikhand
sweet shrikhand,shrikhand
shrikhand,shrikhand
meetha shrikhand,shrikhand
sutar feni,sutar feni
maida sutar feni,sutar feni
sweet sutar feni,sutar feni
meetha sutar feni,sutar feni
sutar feni dessert,sutar feni
maharashtra sutar feni,sutar feni
teekha maach jhol,maach jhol
assam maach jhol,maach jhol
maach jhol,maach jhol
maach jhol main course,maach jhol
spicy maach jhol,maach jhol
fish maach jhol,maach jhol
tripura pork bharta,pork bharta
pork bharta,pork bharta
pork bharta main course,pork bharta
spicy pork bharta,pork bharta
teekha pork bharta,pork bharta
boiled pork pork bharta,pork bharta
rice chak hao kheer,chak hao kheer
sweet chak hao kheer,chak hao kheer
meetha chak hao kheer,chak hao kheer
chak hao kheer,chak hao kheer
chak hao kheer dessert,chak hao kheer
manipur chak hao kheer,chak hao kheer
galho,galho
nagaland galho,galho
teekha galho,galho
spicy galho,galho
galho main course,galho
rice galho,galho
cauliflower aloo gobi,aloo gobi
spicy aloo gobi,aloo gobi
aloo gobi main course,aloo gobi
aloo gobi,aloo gobi
teekha aloo gobi,aloo gobi
punjab aloo gobi,aloo gobi
teekha aloo tikki,aloo tikki
aloo tikki main course,aloo tikki
spicy aloo tikki,aloo tikki
punjab aloo tikki,aloo tikki
rice flour aloo tikki,aloo tikki
aloo tikki,aloo tikki
aloo matar,aloo matar
spicy aloo matar,aloo matar
teekha aloo matar,aloo matar
aloo matar main course,aloo matar
punjab aloo matar,aloo matar
potato aloo matar,aloo matar
punjab aloo methi,aloo methi
bitter aloo methi,aloo methi
potato aloo methi,aloo methi
aloo methi main course,aloo methi
aloo methi,aloo methi
aloo shimla mirch main course,aloo shimla mirch
teekha aloo shimla mirch,aloo shimla mirch
potato aloo shimla mirch,aloo shimla mirch
punjab aloo shimla mirch,aloo shimla mirch
aloo shimla mirch,aloo shimla mirch
spicy aloo shimla mirch,aloo shimla mirch
chole bhatura,bhatura
bhatura,bhatura
punjab bhatura,bhatura
teekha bhatura,bhatura
bhatura main course,bhatura
spicy bhatura,bhatura
ladies finger bhindi masala,bhindi masala
spicy bhindi masala,bhindi masala
bhindi masala,bhindi masala
teekha bhindi masala,bhindi masala
bhindi masala main course,bhindi masala
punjab bhindi masala,bhindi masala
chicken thighs biryani,biryani
spicy biryani,biryani
biryani,biryani
biryani main course,biryani
teekha biryani,biryani
telangana biryani,biryani
teekha butter chicken,butter chicken
chicken butter chicken,butter chicken
butter chicken,butter chicken
spicy butter chicken,butter chicken
nct of delhi butter chicken,butter chicken
butter chicken main course,butter chicken
teekha chana masala,chana masala
chana masala main course,chana masala
chickpeas chana masala,chana masala
spicy chana masala,chana masala
chana masala,chana masala
punjab chana masala,chana masala
chapati main course,chapati
whole wheat flour chapati,chapati
chapati,chapati
maharashtra chapati,chapati
spicy chicken razala,chicken razala
chicken chicken razala,chicken razala
chicken razala main course,chicken razala
west bengal chicken razala,chicken razala
chicken razala,chicken razala
teekha chicken razala,chicken razala
spicy chicken tikka masala,chicken tikka masala
teekha chicken tikka masala,chicken tikka masala
punjab chicken tikka masala,chicken tikka masala
chicken tikka masala,chicken tikka masala
naan bread chicken tikka masala,chicken tikka masala
chicken tikka masala main course,chicken tikka masala
teekha chicken tikka,chicken tikka
chicken chicken tikka,chicken tikka
punjab chicken tikka,chicken tikka
chicken tikka starter,chicken tikka
chicken tikka,chicken tikka
spicy chicken tikka,chicken tikka
spicy chole bhature,chole bhature
chole chole bhature,chole bhature
punjab chole bhature,chole bhature
teekha chole bhature,chole bhature
chole bhature,chole bhature
chole bhature main course,chole bhature
rajasthan daal baati churma,daal baati churma
spicy daal baati churma,daal baati churma
daal baati churma main course,daal baati churma
daal baati churma,daal baati churma
teekha daal baati churma,daal baati churma
moong dal daal baati churma,daal baati churma
spicy daal puri,daal puri
moong dal daal puri,daal puri
west bengal daal puri,daal puri
daal puri,daal puri
daal puri main course,daal puri
teekha daal puri,daal puri
red kidney beans dal makhani,dal makhani
sweet dal makhani,dal makhani
dal makhani main course,dal makhani
punjab dal makhani,dal makhani
dal makhani,dal makhani
meetha dal makhani,dal makhani
dal tadka main course,dal tadka
punjab dal tadka,dal tadka
spicy dal tadka,dal tadka
pigeon peas dal tadka,dal tadka
teekha dal tadka,dal tadka
dal tadka,dal tadka
dum aloo,dum aloo
spicy dum aloo,dum aloo
baby potatoes dum aloo,dum aloo
teekha dum aloo,dum aloo
jammu kashmir dum aloo,dum aloo
dum aloo main course,dum aloo
poha snack,poha
teekha poha,poha
maharashtra poha,poha
poha,poha
spicy poha,poha
beaten rice flakes poha,poha
chhattisgarh fara,fara
chana dal fara,fara
teekha fara,fara
fara,fara
fara snack,fara
spicy fara,fara
moong dal kachori,kachori
uttar pradesh kachori,kachori
kachori snack,kachori
spicy kachori,kachori
kachori,kachori
teekha kachori,kachori
cottage cheese kadai paneer,kadai paneer
kadai paneer,kadai paneer
kadai paneer main course,kadai paneer
punjab kadai paneer,kadai paneer
teekha kadai paneer,kadai paneer
spicy kadai paneer,kadai paneer
besan kadhi pakoda,kadhi pakoda
kadhi pakoda main course,kadhi pakoda
spicy kadhi pakoda,kadhi pakoda
haryana kadhi pakoda,kadhi pakoda
teekha kadhi pakoda,kadhi pakoda
kadhi pakoda,kadhi pakoda
bitter gourd karela bharta,karela bharta
bitter karela bharta,karela bharta
punjab karela bharta,karela bharta
karela bharta,karela bharta
karela bharta main course,karela bharta
teekha khichdi,khichdi
spicy khichdi,khichdi
khichdi,khichdi
khichdi main course,khichdi
moong dal khichdi,khichdi
kofta main course,kofta
teekha kofta,kofta
uttar pradesh kofta,kofta
kofta,kofta
paneer kofta,kofta
spicy kofta,kofta
kulfi falooda dessert,kulfi falooda
sweet kulfi falooda,kulfi falooda
kulfi falooda,kulfi falooda
meetha kulfi falooda,kulfi falooda
rose syrup kulfi falooda,kulfi falooda
lauki ke kofte,lauki ke kofte
spicy lauki ke kofte,lauki ke kofte
lauki ke kofte main course,lauki ke kofte
bottle gourd lauki ke kofte,lauki ke kofte
uttar pradesh lauki ke kofte,lauki ke kofte
teekha lauki ke kofte,lauki ke kofte
spicy lauki ki subji,lauki ki subji
lauki ki subji main course,lauki ki subji
teekha lauki ki subji,lauki ki subji
lauki ki subji,lauki ki subji
bottle gourd lauki ki subji,lauki ki subji
bihar litti chokha,litti chokha
teekha litti chokha,litti chokha
litti chokha,litti chokha
wheat flour litti chokha,litti chokha
litti chokha main course,litti chokha
spicy litti chokha,litti chokha
makki di roti sarson da saag main course,makki di roti sarson da saag
spicy makki di roti sarson da saag,makki di roti sarson da saag
punjab makki di roti sarson da saag,makki di roti sarson da saag
teekha makki di roti sarson da saag,makki di roti sarson da saag
makki di roti sarson da saag,makki di roti sarson da saag
palak makki di roti sarson da saag,makki di roti sarson da saag
misi roti main course,misi roti
misi roti,misi roti
punjab misi roti,misi roti
teekha misi roti,misi roti
whole wheat flour misi roti,misi roti
spicy misi roti,misi roti
punjab mushroom do pyaza,mushroom do pyaza
teekha mushroom do pyaza,mushroom do pyaza
mushroom do pyaza,mushroom do pyaza
mushroom do pyaza main course,mushroom do pyaza
spicy mushroom do pyaza,mushroom do pyaza
mushroom mushroom do pyaza,mushroom do pyaza
teekha mushroom matar,mushroom matar
mushroom matar main course,mushroom matar
canned coconut milk mushroom matar,mushroom matar
mushroom matar,mushroom matar
punjab mushroom matar,mushroom matar
spicy mushroom matar,mushroom matar
naan main course,naan
punjab naan,naan
naan,naan
whole wheat flour naan,naan
uttar pradesh navrattan korma,navrattan korma
navrattan korma main course,navrattan korma
spicy navrattan korma,navrattan korma
teekha navrattan korma,navrattan korma
navrattan korma,navrattan korma
green beans navrattan korma,navrattan korma
palak paneer,palak paneer
teekha palak paneer,palak paneer
palak paneer main course,palak paneer
spicy palak paneer,palak paneer
punjab palak paneer,palak paneer
cottage cheese palak paneer,palak paneer
paneer butter masala main course,paneer butter masala
teekha paneer butter masala,paneer butter masala
paneer paneer butter masala,paneer butter masala
punjab paneer butter masala,paneer butter masala
paneer butter masala,paneer butter masala
spicy paneer butter masala,paneer butter masala
teekha paneer tikka masala,paneer tikka masala
paneer tikka masala,paneer tikka masala
punjab paneer tikka masala,paneer tikka masala
spicy paneer tikka masala,paneer tikka masala
paneer paneer tikka masala,paneer tikka masala
paneer tikka masala main course,paneer tikka masala
pani puri snack,pani puri
spicy pani puri,pani puri
pani puri,pani puri
teekha pani puri,pani puri
kala chana pani puri,pani puri
panjeeri dessert,panjeeri
panjeeri,panjeeri
whole wheat flour panjeeri,panjeeri
uttar pradesh panjeeri,panjeeri
sweet panjeeri,panjeeri
meetha panjeeri,panjeeri
papad,papad
spicy papad,papad
urad dal papad,papad
teekha papad,papad
papad snack,papad
paratha,paratha
punjab paratha,paratha
paratha main course,paratha
wheat flour paratha,paratha
spicy paratha,paratha
teekha paratha,paratha
pattor main course,pattor
spicy pattor,pattor
rajasthan pattor,pattor
teekha pattor,pattor
pattor,pattor
arbi ke patte pattor,pattor
teekha pindi chana,pindi chana
punjab pindi chana,pindi chana
pindi chana main course,pindi chana
spicy pindi chana,pindi chana
fennel pindi chana,pindi chana
pindi chana,pindi chana
red kidney beans rajma chaval,rajma chaval
spicy rajma chaval,rajma chaval
rajma chaval,rajma chaval
teekha rajma chaval,rajma chaval
rajma chaval main course,rajma chaval
rongi main course,rongi
rongi,rongi
garam masala powder rongi,rongi
punjab rongi,rongi
samosa,samosa
spicy samosa,samosa
samosa snack,samosa
potatoes samosa,samosa
teekha samosa,samosa
sattu sattu ki roti,sattu ki roti
teekha sattu ki roti,sattu ki roti
spicy sattu ki roti,sattu ki roti
sattu ki roti,sattu ki roti
sattu ki roti main course,sattu ki roti
bihar sattu ki roti,sattu ki roti
shahi paneer,shahi paneer
punjab shahi paneer,shahi paneer
cottage cheese shahi paneer,shahi paneer
teekha shahi paneer,shahi paneer
spicy shahi paneer,shahi paneer
shahi paneer main course,shahi paneer
sweet shahi tukra,shahi tukra
telangana shahi tukra,shahi tukra
shahi tukra dessert,shahi tukra
shahi tukra,shahi tukra
rose water shahi tukra,shahi tukra
meetha shahi tukra,shahi tukra
vegetable jalfrezi,vegetable jalfrezi
teekha vegetable jalfrezi,vegetable jalfrezi
vegetable jalfrezi main course,vegetable jalfrezi
punjab vegetable jalfrezi,vegetable jalfrezi
baby corn vegetable jalfrezi,vegetable jalfrezi
spicy vegetable jalfrezi,vegetable jalfrezi
spicy tandoori chicken,tandoori chicken
greek yogurt tandoori chicken,tandoori chicken
tandoori chicken main course,tandoori chicken
tandoori chicken,tandoori chicken
punjab tandoori chicken,tandoori chicken
teekha tandoori chicken,tandoori chicken
teekha tandoori fish tikka,tandoori fish tikka
chickpea flour tandoori fish tikka,tandoori fish tikka
tandoori fish tikka starter,tandoori fish tikka
spicy tandoori fish tikka,tandoori fish tikka
tandoori fish tikka,tandoori fish tikka
punjab tandoori fish tikka,tandoori fish tikka
whole wheat flour attu,attu
spicy attu,attu
andhra pradesh attu,attu
attu,attu
teekha attu,attu
attu snack,attu
avial,avial
teekha avial,avial
avial main course,avial
spicy avial,avial
kerala avial,avial
raw banana avial,avial
karnataka bisi bele bath,bisi bele bath
spicy bisi bele bath,bisi bele bath
teekha bisi bele bath,bisi bele bath
bisi bele bath main course,bisi bele bath
bisi bele bath,bisi bele bath
split pigeon peas bisi bele bath,bisi bele bath
teekha currivepillai sadam,currivepillai sadam
spicy currivepillai sadam,currivepillai sadam
chana dal currivepillai sadam,currivepillai sadam
currivepillai sadam,currivepillai sadam
currivepillai sadam main course,currivepillai sadam
tamil nadu currivepillai sadam,currivepillai sadam
chana dal dosa,dosa
teekha dosa,dosa
spicy dosa,dosa
dosa,dosa
dosa snack,dosa
idiappam snack,idiappam
idiappam,idiappam
tamil nadu idiappam,idiappam
teekha idiappam,idiappam
spicy idiappam,idiappam
rice flour idiappam,idiappam
idli,idli
split urad dal idli,idli
teekha idli,idli
spicy idli,idli
idli snack,idli
kanji snack,kanji
carrot kanji,kanji
kanji,kanji
kerala kanji,kanji
kaara kozhambu,kaara kozhambu
teekha kaara kozhambu,kaara kozhambu
sesame oil kaara kozhambu,kaara kozhambu
spicy kaara kozhambu,kaara kozhambu
tamil nadu kaara kozhambu,kaara kozhambu
kaara kozhambu main course,kaara kozhambu
keerai kootu,keerai kootu
keerai kootu main course,keerai kootu
teekha keerai kootu,keerai kootu
tamil nadu keerai kootu,keerai kootu
spicy keerai kootu,keerai kootu
moong dal keerai kootu,keerai kootu
teekha keerai masiyal,keerai masiyal
spicy keerai masiyal,keerai masiyal
urad dal keerai masiyal,keerai masiyal
tamil nadu keerai masiyal,keerai masiyal
keerai masiyal,keerai masiyal
keerai masiyal main course,keerai masiyal
tamil nadu keerai sadam,keerai sadam
keerai sadam,keerai sadam
spicy keerai sadam,keerai sadam
greens keerai sadam,keerai sadam
teekha keerai sadam,keerai sadam
keerai sadam main course,keerai sadam
amaranth leaves keerai poriyal,keerai poriyal
tamil nadu keerai poriyal,keerai poriyal
keerai poriyal main course,keerai poriyal
spicy keerai poriyal,keerai poriyal
teekha keerai poriyal,keerai poriyal
keerai poriyal,keerai poriyal
teekha beef fry,beef fry
beef fry main course,beef fry
beef beef fry,beef fry
beef fry,beef fry
kerala beef fry,beef fry
spicy beef fry,beef fry
kootu,kootu
spicy kootu,kootu
kootu main course,kootu
chana dal kootu,kootu
tamil nadu kootu,kootu
teekha kootu,kootu
spicy kos kootu,kos kootu
kos kootu main course,kos kootu
moong dal kos kootu,kos kootu
kos kootu,kos kootu
teekha kos kootu,kos kootu
tamil nadu kos kootu,kos kootu
spicy koshambri,koshambri
koshambri,koshambri
karnataka koshambri,koshambri
koshambri main course,koshambri
moong dal koshambri,koshambri
teekha koshambri,koshambri
kothamali sadam main course,kothamali sadam
kothamali sadam,kothamali sadam
chana dal kothamali sadam,kothamali sadam
spicy kothamali sadam,kothamali sadam
tamil nadu kothamali sadam,kothamali sadam
teekha kothamali sadam,kothamali sadam
teekha kuzhakkattai,kuzhakkattai
tamil nadu kuzhakkattai,kuzhakkattai
kuzhakkattai,kuzhakkattai
spicy kuzhakkattai,kuzhakkattai
sesame oil kuzhakkattai,kuzhakkattai
kuzhakkattai main course,kuzhakkattai
kuzhambu,kuzhambu
tamil nadu kuzhambu,kuzhambu
pearl onions kuzhambu,kuzhambu
kuzhambu main course,kuzhambu
spicy kuzhambu,kuzhambu
teekha kuzhambu,kuzhambu
masala dosa,masala dosa
spicy masala dosa,masala dosa
chana dal masala dosa,masala dosa
masala dosa snack,masala dosa
teekha masala dosa,masala dosa
coconut oil pachadi,pachadi
pachadi main course,pachadi
pachadi,pachadi
yogurt paniyaram,paniyaram
paniyaram,paniyaram
paniyaram main course,paniyaram
tamil nadu paniyaram,paniyaram
spicy papadum,papadum
papadum,papadum
papadum snack,papadum
teekha papadum,papadum
lentils papadum,papadum
kerala papadum,papadum
spicy paravannam,paravannam
paravannam,paravannam
kerala paravannam,paravannam
raw rice paravannam,paravannam
paravannam main course,paravannam
teekha paravannam,paravannam
sweet payasam,payasam
payasam,payasam
rice payasam,payasam
meetha payasam,payasam
payasam dessert,payasam
arhar dal paruppu sadam,paruppu sadam
paruppu sadam,paruppu sadam
paruppu sadam main course,paruppu sadam
tamil nadu paruppu sadam,paruppu sadam
andhra pradesh pesarattu,pesarattu
pesarattu snack,pesarattu
spicy pesarattu,pesarattu
teekha pesarattu,pesarattu
green moong beans pesarattu,pesarattu
pesarattu,pesarattu
tamil nadu poriyal,poriyal
teekha poriyal,poriyal
poriyal,poriyal
chana dal poriyal,poriyal
poriyal main course,poriyal
spicy poriyal,poriyal
tamil nadu puli sadam,puli sadam
urad dal puli sadam,puli sadam
puli sadam main course,puli sadam
puli sadam,puli sadam
tomato rasam,rasam
spicy rasam,rasam
rasam,rasam
rasam main course,rasam
teekha rasam,rasam
puttu main course,puttu
brown rice flour puttu,puttu
kerala puttu,puttu
puttu,puttu
sambar main course,sambar
spicy sambar,sambar
sambar,sambar
pigeon peas sambar,sambar
teekha sambar,sambar
sandige,sandige
sandige main course,sandige
karnataka sandige,sandige
thin rice flakes sandige,sandige
sevai sevai,sevai
sevai main course,sevai
sevai,sevai
tamil nadu thayir sadam,thayir sadam
thayir sadam,thayir sadam
urad dal thayir sadam,thayir sadam
thayir sadam main course,thayir sadam
coconut theeyal,theeyal
theeyal main course,theeyal
theeyal,theeyal
kerala theeyal,theeyal
chana dal uttapam,uttapam
teekha uttapam,uttapam
uttapam snack,uttapam
uttapam,uttapam
spicy uttapam,uttapam
teekha vada,vada
spicy vada,vada
vada,vada
urad dal vada,vada
vada snack,vada
chicken varuval main course,chicken varuval
spicy chicken varuval,chicken varuval
meat curry powder chicken varuval,chicken varuval
chicken varuval,chicken varuval
teekha chicken varuval,chicken varuval
tamil nadu chicken varuval,chicken varuval
teekha upma,upma
upma,upma
chana dal upma,upma
spicy upma,upma
upma snack,upma
maharashtra amti,amti
kala masala amti,amti
amti,amti
spicy amti,amti
teekha amti,amti
amti main course,amti
zunka main course,zunka
gram flour zunka,zunka
spicy zunka,zunka
teekha zunka,zunka
zunka,zunka
maharashtra zunka,zunka
kolim jawla,kolim jawla
kolim jawla main course,kolim jawla
spicy kolim jawla,kolim jawla
maharashtra kolim jawla,kolim jawla
teekha kolim jawla,kolim jawla
baingan kolim jawla,kolim jawla
